[[[0.34829412 0.80570231]
  [0.62398666 0.05556437]
  [0.20372374 0.3965533 ]
  [0.8310761  0.20711675]
  [0.14165163 0.21855715]
  [0.45841274 0.50598111]]

 [[0.3252169  0.61858312]
  [0.78989528 0.01062394]
  [0.78321271 0.37693322]
  [0.3223148  0.63044268]
  [0.56864784 0.05135703]
  [0.35967298 0.06663303]]

 [[0.60079856 0.79870762]
  [0.12254601 0.06066638]
  [0.22636724 0.23632651]
  [0.23836367 0.78934058]
  [0.38467489 0.53319339]
  [0.12850927 0.21022948]]

 [[0.12098781 0.09006175]
  [0.22580967 0.81065024]
  [0.86074019 0.47827658]
  [0.89087071 0.20996587]
  [0.82866667 0.02851116]
  [0.07068522 0.47064139]]

 [[0.49300412 0.48964122]
  [0.14103455 0.73170046]
  [0.18285388 0.62364431]
  [0.32307294 0.71701347]
  [0.4840678  0.18339572]
  [0.94505066 0.86620575]]]
