[[[0.30108628 0.1324367 ]
  [0.29716718 0.69796718]
  [0.20694475 0.26372159]
  [0.75943099 0.80195945]
  [0.10179308 0.71754204]
  [0.85392094 0.9299412 ]
  [0.95322637 0.87170311]]

 [[0.68719438 0.29452771]
  [0.36020607 0.32558693]
  [0.63607589 0.29201805]
  [0.81523766 0.20193405]
  [0.10506785 0.2485967 ]
  [0.2164856  0.23840787]
  [0.0443326  0.48619223]]

 [[0.56084172 0.52038093]
  [0.32043629 0.87502677]
  [0.97022967 0.63178316]
  [0.14749758 0.17863457]
  [0.81669607 0.03629429]
  [0.62227421 0.69570878]
  [0.71388038 0.64140289]]]
